event_id,date,family,variant,service,platform,location_id,event_type,result,source_type,source_url,confidence,notes
,2024-12-07,Milan,2T,BDL,Ground Launcher,LOC-UNK,Development Test,Success,Official,,High,"As part of internal evaluation trials, the Milan-2T ATGM with indigenous critical subsystems was successfully test fired at MHOW."
,2024-12-01,Akash,Upgraded RF Seeker,IAF,Ground Launcher,LOC-UNK,User Trial,Success,Official,,High,"Trials for the upgraded Akash missile with an indigenous RF seeker were successfully conducted during the annual Ex-Astrashakti."
,2024-04-01,Dhruvastra,Base,DRDO,ALH MK-IV,LOC-UNK,Development Test,Success,Official,,High,"Flight trials of the Dhruvastra missile in a limited envelope from an ALH MK-IV helicopter were successfully conducted in desert and high altitude areas."
,2024-04-01,QRSAM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Official,,High,"Successful firing of the Quick Reaction Surface to Air Missile against a UAV was demonstrated, destroying receding and crossing targets."
,2024-04-01,Akash,NG,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,,High,"AKASH-NG guided missions were successfully flight tested at ITR Balasore to intercept a low flying target."
,2024-08-01,Gaurav,PCB,DRDO,Su-30MKI,LOC-UNK,Development Test,Success,Official,,High,"The Release Flight Trial (RFT) of the Air launched Long Range Glide Bomb Gaurav with a PCB warhead was successfully completed."
,2024-10-01,VSHORADS,Base,DRDO,Ground Launcher,LOC-003,Development Test,Success,Official,,High,"A flight trial of the Very Short Range Air Defence System (VSHORADS) was carried out successfully at Pokhran Field Firing Ranges."
,2024-04-01,SAAW,EO,DRDO,Su-30MKI,LOC-UNK,Development Test,Success,Official,,High,"Three Electro-Optical Smart Anti Airfield Weapons (EO-SAAW) with Cooled Seeker Mk1 were successfully flight tested to demonstrate seeker guidance."
,2024-05-29,RudraM,II,DRDO,Su-30MKI,LOC-001,Development Test,Success,Official,,High,"The Air to Surface missile RudraM-II was successfully flight tested from a Su-30 Mk-I fighter aircraft off the coast of Odisha."
,2024-04-01,ERASR,Base,DRDO,Ship,LOC-001,Development Test,Success,Official,,High,"Ship and dynamic trials of the Extended Range Anti-Submarine Rocket (ERASR), including Range Table Validation, were evaluated successfully at Balasore."
,2024-04-01,SFD,Base,DRDO,Underwater Platform,LOC-UNK,Development Test,Success,Official,,High,"The Phase III trial of the Submarine Fired Decoy (SFD) was successfully conducted."
,2024-04-01,SLCM,Base,DRDO,Underwater Platform,LOC-UNK,Development Test,Success,Official,,High,"Two full range missions of the Submarine Launched Cruise Missile (SLCM) were conducted successfully from an underwater platform."
,2024-09-01,VL-SRSAM,Base,DRDO,Ship,LOC-001,Development Test,Success,Official,,High,"The complete chain of the Vertical Launch Short Range Surface to Air Missile weapon system was validated during flight trials at Balasore."
,2024-04-01,ITCM,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,,High,"The Indigenous Technology Cruise Missile (ITCM) powered by an indigenous Small Turbo Fan Engine was successfully launched from ITR Balasore/Chandipur."
,2024-11-01,LRLACM,01,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,,High,"The first flight of the Long Range Land Attack Cruise Missile (LRLACM-01) was successfully conducted from ITR Chandipur."
,2024-04-01,ATGM,MBT Arjun Mk IA,Indian Army,Arjun MBT,LOC-UNK,Development Test,Success,Official,,High,"Instrumented Development Flight Trials of the Laser seeker based Anti-Tank Guided Missile were conducted successfully from the Arjun MBT."
,2024-04-01,EHWT,Base,DRDO,Underwater Platform,LOC-UNK,Development Test,Success,Official,,High,"Dynamic trials of the Electrical Heavy Weight Torpedo (EHWT) successfully demonstrated controllability, stability, and thermal battery firing."
,2024-04-01,MR-MOCR,Base,DRDO,Ship,LOC-UNK,Development Test,Success,Official,,High,"Phase-I and Phase-II trials of the Medium Range Microwave Obscurant Chaff Rocket (MR-MOCR) were successfully carried out from INS platforms."
